seed_title,onet_code,onet_name
CNC Gear Operator (Computer Numerical Control Gear Operator),51-9161.00,Computer Numerically Controlled Tool Operators
Marketing Coordinator,11-2021.00,Marketing Managers
E and I Apprentice (Electrical and Instrumentation Apprentice),47-3013.00,Helpers--Electricians
Resident Care Technician (Resident Care Tech),31-1133.00,Psychiatric Aides
Muralist,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
Certified Professional Midwife (CPM),29-9099.01,Midwives
Fullstack Engineer,15-1252.00,Software Developers
Purchasing Specialist,43-3061.00,Procurement Clerks
Distribution Manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
Social Work Professor,25-1113.00,"Social Work Teachers, Postsecondary"
Research Animal Attendant,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
General Internal Medicine Physician,29-1216.00,General Internal Medicine Physicians
Financial Services Representative,43-4141.00,New Accounts Clerks
Groundsman,37-3013.00,Tree Trimmers and Pruners
Hand Sander,51-7021.00,Furniture Finishers
Dishwasher,35-9021.00,Dishwashers
Medical Records Coordinator,29-2072.00,Medical Records Specialists
Daycare Worker,39-9011.00,Childcare Workers
School Custodian,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Greenhouse Manager,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
OD Grinder Operator (Outer Diameter Grinder Operator),51-4194.00,"Tool Grinders, Filers, and Sharpeners"
Fluid Operator,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Dining Room Attendant,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
School Psychometrist,19-3034.00,School Psychologists
Category Purchasing Manager,11-3061.00,Purchasing Managers
Material Requirements Planner (MRP),43-5061.00,"Production, Planning, and Expediting Clerks"
Fire Management Officer,33-2022.00,Forest Fire Inspectors and Prevention Specialists
Chief Technical Officer (CTO),11-1011.00,Chief Executives
Sales Trader,43-4011.00,Brokerage Clerks
Audio Operator,27-4014.00,Sound Engineering Technicians
Manual Lathe Machinist,51-4041.00,Machinists
Milking Worker,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
Technical Services Manager,11-3021.00,Computer and Information Systems Managers
Elementary Principal,11-9032.00,"Education Administrators, Kindergarten through Secondary"
Coil Winder,51-2021.00,"Coil Winders, Tapers, and Finishers"
APN (Advanced Practice Nurse),29-1141.02,Advanced Practice Psychiatric Nurses
Company Dancer,27-2031.00,Dancers
Mini Shifter,53-7064.00,"Packers and Packagers, Hand"
Back Line Cook,35-2014.00,"Cooks, Restaurant"
Corporate Communications Specialist,27-3031.00,Public Relations Specialists
Lawnmower Repair Mechanic,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
Licensed Certified Professional Midwife,29-9099.01,Midwives
Manufacturing Supervisor,51-1011.00,First-Line Supervisors of Production and Operating Workers
Resident Athletic Trainer,29-9091.00,Athletic Trainers
Bellperson,39-6011.00,Baggage Porters and Bellhops
Clinical Services Director,11-9151.00,Social and Community Service Managers
Ferry Boat Captain,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Police Records Clerk,43-4071.00,File Clerks
Congregational Care Pastor,21-2011.00,Clergy
Room Server,35-3041.00,"Food Servers, Nonrestaurant"
Radio News Anchor,27-3023.00,"News Analysts, Reporters, and Journalists"
Global Supply Chain Director,11-3071.04,Supply Chain Managers
Machine Assembler,51-2031.00,Engine and Other Machine Assemblers
Certified Flexible Endoscope Reprocessor (CFER),31-9099.02,Endoscopy Technicians
Commercial Lines Underwriter,13-2053.00,Insurance Underwriters
Acupuncture Physician,29-1291.00,Acupuncturists
Camera Technician,49-9061.00,Camera and Photographic Equipment Repairers
Compensation and Benefits Director,11-3111.00,Compensation and Benefits Managers
Physical Therapy Aide (PTA),31-2022.00,Physical Therapist Aides
Certified Prosthetist Orthotist (CPO),29-2091.00,Orthotists and Prosthetists
Fire Operations Forester,33-2022.00,Forest Fire Inspectors and Prevention Specialists
Information Assistant (Info Assistant),43-4171.00,Receptionists and Information Clerks
Non-Linear Editor,27-4032.00,Film and Video Editors
Steward,35-9021.00,Dishwashers
Prosthetic Dentist,29-1024.00,Prosthodontists
Automotive Service Technician (Auto Service Tech),49-3023.00,Automotive Service Technicians and Mechanics
Decision Analyst,15-2031.00,Operations Research Analysts
Civil Engineering Assistant,17-3022.00,Civil Engineering Technologists and Technicians
Glazier,47-2121.00,Glaziers
QC Tech (Quality Control Technician),19-4013.00,Food Science Technicians
Safety Research Professional,19-5012.00,Occupational Health and Safety Technicians
Confidential Secretary,43-6012.00,Legal Secretaries and Administrative Assistants
Orthodontics Doctor,29-1023.00,Orthodontists
Glassman,47-2121.00,Glaziers
Data Capture Specialist,43-9021.00,Data Entry Keyers
Adult Nurse Practitioner,29-1171.00,Nurse Practitioners
Automation Technician (Automation Tech),17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
Enrolled Agent,13-2082.00,Tax Preparers
Funeral Assistant,39-4021.00,Funeral Attendants
Leather Worker,51-6041.00,Shoe and Leather Workers and Repairers
Marketing Director,11-2021.00,Marketing Managers
Log Processor Operator,45-4022.00,Logging Equipment Operators
Funeral Home Manager,11-9171.00,Funeral Home Managers
Licensed Funeral Director,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
Choreographer,27-2032.00,Choreographers
Gymnastics Coach,27-2022.00,Coaches and Scouts
Operating Room Registered Nurse (OR RN),29-1141.00,Registered Nurses
Golf Course Ranger,39-3091.00,Amusement and Recreation Attendants
Die Setter,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
Bicycle Repairman,49-3091.00,Bicycle Repairers
Naturopathic Oncology Provider,29-1299.01,Naturopathic Physicians
Buffet Attendant,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
Cafeteria Server,35-3023.00,Fast Food and Counter Workers
All Terrain Vehicle Technician (ATV Technician),49-3052.00,Motorcycle Mechanics
Sanitarian,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
Marine Design Engineer,17-2121.00,Marine Engineers and Naval Architects
RTS Inspector (Return to Service Inspector),53-6051.01,Aviation Inspectors
Meat Clerk,51-3021.00,Butchers and Meat Cutters
Housing Inspector,13-1041.04,Government Property Inspectors and Investigators
Funeral Greeter,39-4021.00,Funeral Attendants
Valuation Consultant,13-2023.00,Appraisers and Assessors of Real Estate
Quality and Food Safety Manager,11-3051.01,Quality Control Systems Managers
Housing Management Representative,13-1041.04,Government Property Inspectors and Investigators
Engineering Laboratory Technician (Engineering Lab Technician),17-3027.00,Mechanical Engineering Technologists and Technicians
Advertising Sales Representative (Ad Sales Representative),41-3011.00,Advertising Sales Agents
OB/GYN Physician (Obstetrics and Gynecology Physician),29-1218.00,Obstetricians and Gynecologists
Executive Administrative Assistant,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Industrial Roofer,47-2181.00,Roofers
Purchasing Clerk,43-3061.00,Procurement Clerks
Well Field Technician,53-7073.00,Wellhead Pumpers
Slot Attendant,41-2012.00,Gambling Change Persons and Booth Cashiers
Pet Stylist,39-2021.00,Animal Caretakers
Objects Conservator,25-4013.00,Museum Technicians and Conservators
Registered Dental Assistant (RDA),31-9091.00,Dental Assistants
Psychiatric Provider,29-1141.02,Advanced Practice Psychiatric Nurses
Nuclear Engineer,17-2161.00,Nuclear Engineers
Launchman,53-5022.00,Motorboat Operators
Driver License Examiner,13-1041.00,Compliance Officers
Sales Engineer,41-9031.00,Sales Engineers
Pediatric Pulmonologist,29-1229.01,Allergists and Immunologists
Sales Clerk,41-2031.00,Retail Salespersons
Molecular Genetics Technologist,29-2011.01,Cytogenetic Technologists
Frontend Engineer,15-1252.00,Software Developers
Fiberglass Laminator,51-2051.00,Fiberglass Laminators and Fabricators
Certified Paralegal,23-2011.00,Paralegals and Legal Assistants
Loan Clerk,43-4131.00,Loan Interviewers and Clerks
Cytogenetic Technologist,29-2011.01,Cytogenetic Technologists
Loss Prevention Associate (LPA),33-9099.02,Retail Loss Prevention Specialists
Middle School Teacher,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
Road Service Locksmith,49-9094.00,Locksmiths and Safe Repairers
Reference and Instruction Librarian,25-4022.00,Librarians and Media Collections Specialists
Bus Attendant,53-6061.00,Passenger Attendants
Certified Anesthesia Technician,29-1071.01,Anesthesiologist Assistants
Controls Engineering Specialist,17-2199.05,Mechatronics Engineers
General Adjuster,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
Adult Ministries Director,21-2021.00,"Directors, Religious Activities and Education"
Avionics Technician (Avionics Tech),49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
Gaming Cage Worker,43-3041.00,Gambling Cage Workers
Ophthalmic Sonographer,29-2099.05,Ophthalmic Medical Technologists
Network Technician,15-1231.00,Computer Network Support Specialists
Orthodontist,29-1023.00,Orthodontists
Applied Behavior Science Specialist (ABSS),19-3033.00,Clinical and Counseling Psychologists
Research and Development Director (R and D Director),11-9121.00,Natural Sciences Managers
Paper Conservator,25-4013.00,Museum Technicians and Conservators
Early Childhood Teacher,25-2011.00,"Preschool Teachers, Except Special Education"
Registered Phlebotomist,31-9097.00,Phlebotomists
Quantitative Equity Analyst,13-2099.01,Financial Quantitative Analysts
Health Information Technician (Health Information Tech),29-2072.00,Medical Records Specialists
Motor Vehicle Field Representative (MVFR),43-4031.00,"Court, Municipal, and License Clerks"
Substation Mechanic,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Information Technology Specialist (IT Specialist),15-1244.00,Network and Computer Systems Administrators
Product Manager,11-2021.00,Marketing Managers
Multimedia Services Coordinator,25-4022.00,Librarians and Media Collections Specialists
Corporate Claims Examiner,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
Law Instructor,25-1112.00,"Law Teachers, Postsecondary"
Dog Bather,39-2021.00,Animal Caretakers
Ticket Attendant,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
Institutional Research Director,11-9033.00,"Education Administrators, Postsecondary"
Timber Appraiser,19-4071.00,Forest and Conservation Technicians
Community Health Program Representative (Community Health Program Rep),21-1094.00,Community Health Workers
Grounds Maintenance Supervisor,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Oceanography Professor,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Catholic Priest,21-2011.00,Clergy
Social Scientist,19-3041.00,Sociologists
Optimization Analyst,15-2031.00,Operations Research Analysts
Pottery Decorator,51-9123.00,"Painting, Coating, and Decorating Workers"
Animal Care Giver (ACG),39-2021.00,Animal Caretakers
Public Service Representative (PSR),13-1041.00,Compliance Officers
Radiation Protection Specialist (RP Specialist),19-4051.02,Nuclear Monitoring Technicians
"Health, Safety, and Environmental Manager (HSE Manager)",11-9199.02,Compliance Managers
Food Inspector,45-2011.00,Agricultural Inspectors
Supportability Engineer,13-1081.01,Logistics Engineers
Beach Lifeguard,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
Fretted String Instrument Repairer,49-9063.00,Musical Instrument Repairers and Tuners
Market Researcher,13-1161.00,Market Research Analysts and Marketing Specialists
Hearing Care Specialist,29-2092.00,Hearing Aid Specialists
Optical Specialist,17-2199.07,Photonics Engineers
Athletic Equipment Manager,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
Hair Stylist,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
Interpreter,27-3091.00,Interpreters and Translators
Credit Union Examiner,13-2061.00,Financial Examiners
Concrete Carpenter,47-2031.00,Carpenters
Critical Care Nurse Practitioner,29-1141.03,Critical Care Nurses
Refuse Collector,53-7081.00,Refuse and Recyclable Material Collectors
Trading Assistant,43-4011.00,Brokerage Clerks
Sales Person,41-2031.00,Retail Salespersons
Slot Shift Supervisor,39-1013.00,First-Line Supervisors of Gambling Services Workers
Die Cast Operator (DCO),51-4052.00,"Pourers and Casters, Metal"
Mechanical Engineering Manager,11-9041.00,Architectural and Engineering Managers
Competitive Intelligence Analyst,15-2051.01,Business Intelligence Analysts
Ophthalmic Photographer,29-2099.05,Ophthalmic Medical Technologists
Hearing Aid Consultant,29-2092.00,Hearing Aid Specialists
Reconditioner,53-7061.00,Cleaners of Vehicles and Equipment
Art Director,27-1011.00,Art Directors
Personal Banking Representative,43-3071.00,Tellers
Court Monitor,27-3092.00,Court Reporters and Simultaneous Captioners
Speech-Language Technician,31-9099.01,Speech-Language Pathology Assistants
HR Analyst (Human Resources Analyst),13-1071.00,Human Resources Specialists
Forest Ranger,45-4011.00,Forest and Conservation Workers
Underwriting Sales Representative,41-3021.00,Insurance Sales Agents
Asbestos Hazard Abatement Worker,47-4041.00,Hazardous Materials Removal Workers
Crop Nutrition Scientist,19-1013.00,Soil and Plant Scientists
Manufacturing Clerk,43-4071.00,File Clerks
Nanofabrication Specialist,17-3026.01,Nanotechnology Engineering Technologists and Technicians
Board Certified Dermatologist,29-1213.00,Dermatologists
Instrumentation and Controls Technician,17-3024.01,Robotics Technicians
Exhibit Preparator,27-1027.00,Set and Exhibit Designers
Chipper Operator,53-7011.00,Conveyor Operators and Tenders
Area Forester,19-1032.00,Foresters
Motorcycle Service Technician,49-3052.00,Motorcycle Mechanics
Softball Umpire,27-2023.00,"Umpires, Referees, and Other Sports Officials"
Attorney General,23-1011.00,Lawyers
Solar Sales Representative,41-4011.07,Solar Sales Representatives and Assessors
Licensed Acupuncturist (LAC),29-1291.00,Acupuncturists
Bicycle Service Technician,49-3091.00,Bicycle Repairers
School Administrator,11-9032.00,"Education Administrators, Kindergarten through Secondary"
Floor Coverer,47-2041.00,Carpet Installers
Metal Framer,47-2081.00,Drywall and Ceiling Tile Installers
Vocational Placement Specialist,21-1015.00,Rehabilitation Counselors
Bean Roaster,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
Media Specialist,25-4022.00,Librarians and Media Collections Specialists
Railroad Track Inspector,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
Property Manager,11-9141.00,"Property, Real Estate, and Community Association Managers"
Well Driller,47-5023.00,"Earth Drillers, Except Oil and Gas"
Occupational Therapist Assistant (OTA),31-2011.00,Occupational Therapy Assistants
Environmental Engineering Technician,17-3025.00,Environmental Engineering Technologists and Technicians
Ophthalmic Tech (Ophthalmic Technician),29-2057.00,Ophthalmic Medical Technicians
Civil Designer,17-3022.00,Civil Engineering Technologists and Technicians
Cup Room Technician,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
Wealth Advisor,13-2052.00,Personal Financial Advisors
Display Specialist,27-1026.00,Merchandise Displayers and Window Trimmers
Park Ranger,19-1031.03,Park Naturalists
Plaster Tender,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
Behavior Analyst,21-1014.00,Mental Health Counselors
Computer-Aided Design Designer (CAD Designer),17-3011.00,Architectural and Civil Drafters
Traffic Control Technician,53-6041.00,Traffic Technicians
Aircraft Cleaner,53-7061.00,Cleaners of Vehicles and Equipment
Crop Specialist,19-4012.01,Precision Agriculture Technicians
Place Change Roof Bolter,47-5043.00,"Roof Bolters, Mining"
Voice-Over Artist,27-2011.00,Actors
Transfer Station Operator,53-7062.04,Recycling and Reclamation Workers
Internal Medicine Physician (IM Physician),29-1216.00,General Internal Medicine Physicians
Rake Operator,45-2091.00,Agricultural Equipment Operators
Completion Engineer,17-2171.00,Petroleum Engineers
Backend Engineer,15-1252.00,Software Developers
MEMS Integration Engineer (Microelectrical Mechanical Integration Engineer),17-2199.06,Microsystems Engineers
Personal Assistant,39-6012.00,Concierges
TV Program Director (Television Program Director),27-2012.03,Media Programming Directors
Burner,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
Environmental Health and Safety Specialist (EHS Specialist),19-2041.00,"Environmental Scientists and Specialists, Including Health"
Biomedical Engineer,17-2031.00,Bioengineers and Biomedical Engineers
Prosthetic Technician,51-9082.00,Medical Appliance Technicians
Ophthalmic Surgeon,29-1241.00,"Ophthalmologists, Except Pediatric"
Board Certified Orthodontist,29-1023.00,Orthodontists
Retreader,51-9197.00,Tire Builders
Brownfield Program Director,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
Windshield Repair Technician,49-3022.00,Automotive Glass Installers and Repairers
Front Desk Manager,11-9081.00,Lodging Managers
Automotive Glazier (Auto Glazier),49-3022.00,Automotive Glass Installers and Repairers
Exercise Specialist,29-1128.00,Exercise Physiologists
Ophthalmic Dispenser,29-2081.00,"Opticians, Dispensing"
Audioprosthologist,29-2092.00,Hearing Aid Specialists
Kettle Fry Cook Operator,51-3093.00,Food Cooking Machine Operators and Tenders
Dye Machine Operator,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
Geospatial Extractor,19-4099.03,Remote Sensing Technicians
Porcelain Technician (Porcelain Tech),51-9081.00,Dental Laboratory Technicians
Dual Rate Dealer,39-3011.00,Gambling Dealers
Die Cutter Operator,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
Bartender,35-3011.00,Bartenders
Regulatory Affairs Specialist (RA Specialist),13-1041.07,Regulatory Affairs Specialists
State Roadway Design Engineer,17-2051.01,Transportation Engineers
Ladleman,51-4052.00,"Pourers and Casters, Metal"
Recapper,51-9197.00,Tire Builders
Copywriter,27-3043.00,Writers and Authors
Waste Management Specialist,13-1041.01,Environmental Compliance Inspectors
Chef Concierge,39-6012.00,Concierges
Newspaper Copy Editor,27-3041.00,Editors
Emergency Management System Director (EMS Director),11-9161.00,Emergency Management Directors
Precision Agriculture Specialist (Precision Ag Specialist),19-4012.01,Precision Agriculture Technicians
Microsystems Engineer,17-2199.06,Microsystems Engineers
Corrugator Operator,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
NDT Technician (Non-Destructive Testing Technician),17-3029.01,Non-Destructive Testing Specialists
Christian Education Director,21-2021.00,"Directors, Religious Activities and Education"
Floral Artist,27-1023.00,Floral Designers
Golf Course Starter,39-3091.00,Amusement and Recreation Attendants
News Technical Director,27-2012.05,Media Technical Directors/Managers
New Accounts Clerk,43-4141.00,New Accounts Clerks
QA Technician (Quality Assurance Technician),51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
Home Health Physical Therapist Assistant,31-2021.00,Physical Therapist Assistants
Housing Development Specialist,19-3051.00,Urban and Regional Planners
Flumer,53-7011.00,Conveyor Operators and Tenders
Architectural Draftsman,17-3011.00,Architectural and Civil Drafters
Engine Boss,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
Funeral Home Associate,39-4021.00,Funeral Attendants
Farm Labor Contractor,13-1074.00,Farm Labor Contractors
Exhibit Designer,27-1027.00,Set and Exhibit Designers
Naval Architect Specialist,17-2121.00,Marine Engineers and Naval Architects
Airbus Captain,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
Deli Cook (Delicatessen Cook),35-2015.00,"Cooks, Short Order"
Forensic Meteorologist,19-2021.00,Atmospheric and Space Scientists
Regulatory Director,11-9199.01,Regulatory Affairs Managers
Rural Route Carrier,43-5052.00,Postal Service Mail Carriers
Jiggerman,51-9195.05,"Potters, Manufacturing"
Nuclear Process Engineer,17-2161.00,Nuclear Engineers
SEO Strategist (Search Engine Optimization Strategist),13-1161.01,Search Marketing Strategists
Roustabout Pusher,47-5071.00,"Roustabouts, Oil and Gas"
Rig Operator,47-5013.00,"Service Unit Operators, Oil and Gas"
Cytology Technical Specialist,29-2011.02,Cytotechnologists
Research MRI Technologist (Research Magnetic Resonance Imaging Technologist),29-2035.00,Magnetic Resonance Imaging Technologists
Sterile Processing Technician (Sterile Processing Tech),31-9093.00,Medical Equipment Preparers
Project Reservoir Engineer,17-2171.00,Petroleum Engineers
Regulatory Affairs Analyst (RA Analyst),13-1041.07,Regulatory Affairs Specialists
Aquaculture Director,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
Survey Interviewer,43-4111.00,"Interviewers, Except Eligibility and Loan"
Administrative Assistant,43-6011.00,Executive Secretaries and Executive Administrative Assistants
GI Tech (Gastrointestinal Technician),31-9099.02,Endoscopy Technicians
Parking Cashier,53-6021.00,Parking Attendants
Financial Aid Officer,13-2072.00,Loan Officers
Television News Photographer,27-4031.00,"Camera Operators, Television, Video, and Film"
General Forecaster,19-2021.00,Atmospheric and Space Scientists
Surgical Pathologist,29-1222.00,"Physicians, Pathologists"
Safety and Health Consultant,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
Certified Nuclear Medicine Technologist (CNMT),29-2033.00,Nuclear Medicine Technologists
Mental Health Program Manager,11-9111.00,Medical and Health Services Managers
Wildlife Conservation Officer,33-3031.00,Fish and Game Wardens
Library Technician,25-4031.00,Library Technicians
Childcare Director,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
Music Composer,27-2041.00,Music Directors and Composers
Scrap Crane Operator,53-7021.00,Crane and Tower Operators
Clinical Audiologist,29-1181.00,Audiologists
Scrum Master,15-1299.09,Information Technology Project Managers
Dental Assistant (DA),31-9091.00,Dental Assistants
Surveillance Monitor,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
Clinical Psychologist,19-3033.00,Clinical and Counseling Psychologists
Water Plant Operator,51-8031.00,Water and Wastewater Treatment Plant and System Operators
No Bake Molder,51-4071.00,Foundry Mold and Coremakers
Screed Operator,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
Retail Pharmacist,29-1051.00,Pharmacists
Drilling Rig Operator,47-5012.00,"Rotary Drill Operators, Oil and Gas"
Soft Tissue Specialist,31-9011.00,Massage Therapists
Dental Hygienist,29-1292.00,Dental Hygienists
Psychology Professor,25-1066.00,"Psychology Teachers, Postsecondary"
Center Aisle Cashier,41-2011.00,Cashiers
Custom Bike Builder,49-3052.00,Motorcycle Mechanics
Production Machinist,51-4041.00,Machinists
Maintenance Millwright,49-9044.00,Millwrights
Computer Tech (Computer Technician),15-1232.00,Computer User Support Specialists
Group Exercise Instructor,39-9031.00,Exercise Trainers and Group Fitness Instructors
Organizational Development Consultant,13-1111.00,Management Analysts
Carpenter Helper,47-3012.00,Helpers--Carpenters
Roving Teller,43-3071.00,Tellers
Chief Diversity Officer (CDO),11-1011.00,Chief Executives
Apartment Manager,11-9141.00,"Property, Real Estate, and Community Association Managers"
Revenue Tax Specialist,13-2011.00,Accountants and Auditors
Operations General Manager (Operations GM),11-1021.00,General and Operations Managers
Licensed Physical Therapist Assistant (LPTA),31-2021.00,Physical Therapist Assistants
MHW (Mental Health Worker),29-2053.00,Psychiatric Technicians
Mining Consultant,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
Pediatric LPN (Pediatric Licensed Practical Nurse),29-2061.00,Licensed Practical and Licensed Vocational Nurses
Hydro Plant Technician,51-8013.04,Hydroelectric Plant Technicians
Chemistry Instructor,25-1052.00,"Chemistry Teachers, Postsecondary"
Admissions Clerk,43-4111.00,"Interviewers, Except Eligibility and Loan"
Health Information Manager (HIM Manager),11-9111.00,Medical and Health Services Managers
Activities Coordinator,29-1125.00,Recreational Therapists
Large Animal Veterinarian (Large Animal Vet),29-1131.00,Veterinarians
Public Works Technician,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
Picker and Packer,53-7064.00,"Packers and Packagers, Hand"
Automation Technician,17-3024.01,Robotics Technicians
Court Constable,33-3011.00,Bailiffs
Booker,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
Funeral Arranger,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
Environmental Educator,19-1031.03,Park Naturalists
Instrument and Control Technician (I and C Technician),49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Keno Attendant,39-3012.00,Gambling and Sports Book Writers and Runners
Wind Technician Leader,11-9199.09,Wind Energy Operations Managers
Naturopathic Oncologist,29-1299.01,Naturopathic Physicians
Graduate Student,25-9044.00,"Teaching Assistants, Postsecondary"
Transitional Care Director,11-9151.00,Social and Community Service Managers
Hall Coordinator,39-9041.00,Residential Advisors
Kitchen Supervisor,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
Climate Analyst,19-2041.01,Climate Change Policy Analysts
Biochemist,19-1021.00,Biochemists and Biophysicists
Human Development Professor,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
District Medical Examiner,13-1041.06,Coroners
Stain Sprayer,51-7021.00,Furniture Finishers
Substation Technician,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Orientation and Mobility Instructor (O and M Instructor),29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
Mental Health Associate,29-2053.00,Psychiatric Technicians
Oil Rig Driller,47-5012.00,"Rotary Drill Operators, Oil and Gas"
Paper Machine Tender,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
Correspondent,43-4021.00,Correspondence Clerks
Customer Service Department Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Aerotriangulation Specialist,17-3031.00,Surveying and Mapping Technicians
Aesthetician,39-5094.00,Skincare Specialists
Diver Tender,49-9092.00,Commercial Divers
Terrazzo Laborer,47-2053.00,Terrazzo Workers and Finishers
Shuttle Car Operator,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
State Surveyor,17-1022.00,Surveyors
Transmission System Operator,51-8012.00,Power Distributors and Dispatchers
Resident Manager,11-9141.00,"Property, Real Estate, and Community Association Managers"
Substation Wireman,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Parole Officer (PO),21-1092.00,Probation Officers and Correctional Treatment Specialists
Pattern Engineer,51-7032.00,"Patternmakers, Wood"
Interpretive Naturalist,19-1031.03,Park Naturalists
Reservations Agent,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
Procurement Director,11-3061.00,Purchasing Managers
Information Architect,15-1243.00,Database Architects
Rapid Transit Operator (RTO),53-4041.00,Subway and Streetcar Operators
Chemistry Faculty Member,25-1052.00,"Chemistry Teachers, Postsecondary"
Maintenance Painter,47-2141.00,"Painters, Construction and Maintenance"
Adult Probation Officer,21-1092.00,Probation Officers and Correctional Treatment Specialists
Traditional Chinese Medicine Practitioner,29-1291.00,Acupuncturists
Boiler Repairman,47-2011.00,Boilermakers
Resident Director,39-9041.00,Residential Advisors
Tour Escort,39-7012.00,Travel Guides
Zookeeper,39-2021.00,Animal Caretakers
Excavator Operator,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
Magistrate Assistant,43-6012.00,Legal Secretaries and Administrative Assistants
"HVAC Sheet Metal Specialist (Heating, Ventilation, and Air Conditioning Sheet Metal Specialist)",47-2211.00,Sheet Metal Workers
Brand Manager,11-2021.00,Marketing Managers
Glue Reel Operator,51-9191.00,Adhesive Bonding Machine Operators and Tenders
Food and Nutrition Services Supervisor,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
Private Chef,35-2013.00,"Cooks, Private Household"
Body Man,49-3021.00,Automotive Body and Related Repairers
Budget Officer,13-2031.00,Budget Analysts
Violinist,27-2042.00,Musicians and Singers
Herdsman,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
Integrated Circuit Design Engineer (IC Design Engineer),17-2072.00,"Electronics Engineers, Except Computer"
Professional Landscape Architect (PLA),17-1012.00,Landscape Architects
Grocery Buyer,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
Urology MD (Urology Medical Doctor),29-1229.03,Urologists
Mobile Electronics Installation Specialist,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
Elevator Troubleshooter,47-4021.00,Elevator and Escalator Installers and Repairers
Bellhop,39-6011.00,Baggage Porters and Bellhops
